symbol,market,exchange,currency,name_kr,name_en,base_slug,ko_slug,en_slug
068760.KQ,KOSDAQ,KRX,KRW,셀트리온제약,Celltrion Pharm,celltrion-pharm,셀트리온제약-주가-전망,celltrion-pharm-stock-forecast
035760.KQ,KOSDAQ,KRX,KRW,CJ ENM,CJ ENM,cj-enm,cj-enm-주가-전망,cj-enm-stock-forecast
214150.KQ,KOSDAQ,KRX,KRW,클래시스,Classys,classys,클래시스-주가-전망,classys-stock-forecast
086520.KQ,KOSDAQ,KRX,KRW,에코프로,Ecopro,ecopro,에코프로-주가-전망,ecopro-stock-forecast
247540.KQ,KOSDAQ,KRX,KRW,에코프로비엠,Ecopro Bm,ecopro-bm,에코프로비엠-주가-전망,ecopro-bm-stock-forecast
039030.KQ,KOSDAQ,KRX,KRW,이오테크닉스,Eo Technics,eo-technics,이오테크닉스-주가-전망,eo-technics-stock-forecast
084370.KQ,KOSDAQ,KRX,KRW,유진테크,Eugene Technology,eugene-technology,유진테크-주가-전망,eugene-technology-stock-forecast
195940.KQ,KOSDAQ,KRX,KRW,HK이노엔,Hk,hk,HK이노엔-주가-전망,hk-stock-forecast
024850.KQ,KOSDAQ,KRX,KRW,HLB이노베이션,HLB,hlb,HLB이노베이션-주가-전망,hlb-stock-forecast
028300.KQ,KOSDAQ,KRX,KRW,HLB,HLB,hlb-2,hlb-주가-전망,hlb-2-stock-forecast
403870.KQ,KOSDAQ,KRX,KRW,HPSP,HPSP,hpsp,hpsp-주가-전망,hpsp-stock-forecast
027360.KQ,KOSDAQ,KRX,KRW,아주IB투자,Ib,ib,아주IB투자-주가-전망,ib-stock-forecast
240810.KQ,KOSDAQ,KRX,KRW,원익IPS,Ips,ips,원익IPS-주가-전망,ips-stock-forecast
095340.KQ,KOSDAQ,KRX,KRW,ISC,ISC,isc,isc-주가-전망,isc-stock-forecast
035900.KQ,KOSDAQ,KRX,KRW,JYP Ent.,JYP Ent.,jyp-ent,jyp-ent-주가-전망,jyp-ent-stock-forecast
293490.KQ,KOSDAQ,KRX,KRW,카카오게임즈,Kakao Games,kakao-games,카카오게임즈-주가-전망,kakao-games-stock-forecast
